fid,hechos_id,latitud,mes_largo,sievi_clas,hipotesis_,medio_cono,smuertos,depto_hech,lugaro,tvictimas,longitud,fecha_hech,municipio_,slesionado,cid
3547,24256994,3.39991311,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.38745565,2019-02-05,CANDELARIA,2,3547
3548,24257047,6.17248467,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.60903,2019-01-22,ITAGUI,1,3548
3549,24257175,6.25892319,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.56236655,2019-02-19,MEDELLÍN (CT),1,3549
3550,24257235,6.30014574,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.57657575,2019-02-11,MEDELLÍN (CT),1,3550
3551,24257249,3.45239009,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.48556054,2019-02-12,CALI (CT),1,3551
3552,24257309,6.24582407,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.55823011,2019-02-14,MEDELLÍN (CT),1,3552
3553,24257470,3.39281447,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,4,-76.35054807,2019-02-04,CANDELARIA,4,3553
3554,24257490,6.25691453,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.56625866,2019-01-29,MEDELLÍN (CT),1,3554
3555,24257528,3.43297152,Enero,-,-,POLICIA DE TRANSITO RURAL,0,VALLE,Via urbana,2,-76.53764075,2019-01-24,CALI (CT),2,3555
3556,24257564,4.80541097,Enero,ATROPELLO,CRUZAR SIN OBSERVAR,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via urbana,1,-75.7356934,2019-01-19,PEREIRA (CT),1,3556
3557,24257741,6.24337594,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.60747674,2019-01-30,MEDELLÍN (CT),1,3557
3558,24257842,3.39264311,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,1,-76.34861688,2019-02-04,CANDELARIA,1,3558
3559,24257851,4.62741556,Febrero,CAIDA OCUPANTE,FRENAR BRUSCAMENTE.,POLICIA DE TRANSITO URBANO,0,CUNDINAMARCA,Via urbana,1,-74.10980484,2019-02-21,BOGOTÁ D.C. (CT),1,3559
3560,24257895,4.8076632,Febrero,OTRO,IMPERICIA EN EL MANEJO,POR INFORMACION POLICIVA,0,RISARALDA,Via urbana,1,-75.72604481,2019-02-21,PEREIRA (CT),1,3560
3561,24257901,6.22620698,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.58561476,2019-02-01,MEDELLÍN (CT),1,3561
3562,24257927,5.84883839,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,CASANARE,Vias Rurales,1,-71.86691321,2019-02-21,PAZ DE ARIPORO,0,3562
3563,24257947,9.24652281,Enero,-,-,POLICIA DE TRANSITO RURAL,0,CÓRDOBA,Via urbana,1,-76.08168506,2019-01-06,MOÑITOS,1,3563
3564,24257979,1.78742426,Febrero,VOLCAMIENTO,OTRA.,POR FISCALIA / CRUCE SPOA-SIEDCO,1,NARIÑO,Via urbana,1,-78.79144985,2019-02-18,SAN ANDRES DE TUMACO,0,3564
3565,24258056,3.41976852,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.53591467,2019-01-30,CALI (CT),2,3565
3566,24258057,10.33595432,Febrero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO RURAL,0,CESAR,Via Nacional,1,-73.3534788,2019-02-21,VALLEDUPAR (CT),1,3566
3567,24258147,4.82091096,Enero,CHOQUE,GIRAR BRUSCAMENTE,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via Nacional - Paso Urbano,1,-75.68502131,2019-01-24,DOSQUEBRADAS,1,3567
3568,24258177,4.84502624,Enero,CHOQUE,EXCESO DE VELOCIDAD,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via urbana,1,-75.67086706,2019-01-26,DOSQUEBRADAS,1,3568
3569,24258195,4.82050289,Enero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via Nacional - Paso Urbano,2,-75.68513505,2019-01-26,DOSQUEBRADAS,2,3569
3570,24258232,4.83184975,Enero,CHOQUE,OTRA.,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via Nacional - Paso Urbano,2,-75.67593647,2019-01-25,DOSQUEBRADAS,2,3570
3571,24258420,3.44998219,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.51982559,2019-02-13,CALI (CT),1,3571
3572,24258562,1.194726,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,NARIÑO,Via urbana,1,-77.274285,2019-02-18,PASTO (CT),1,3572
3573,24259124,7.10702861,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,SANTANDER,Via urbana,2,-73.13731663,2019-01-10,BUCARAMANGA (CT),2,3573
3574,24259504,10.39634633,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,BOLÍVAR,Via urbana,1,-75.48880507,2019-02-21,CARTAGENA (CT),1,3574
3575,24259931,4.815117,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Via urbana,2,-75.712601,2019-02-20,PEREIRA (CT),2,3575
3576,24259935,6.05590307,Febrero,CHOQUE,DEJAR OBSTÁCULOS EN LA VÍA,POR FISCALIA / CRUCE SPOA-SIEDCO,1,ANTIOQUIA,Via urbana,1,-75.5067857,2019-02-12,RETIRO,0,3576
3577,24260207,7.12279567,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,SANTANDER,Via urbana,1,-73.13406579,2019-01-31,BUCARAMANGA (CT),1,3577
3578,24260439,9.39654997,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,SUCRE,Via urbana,4,-75.05768166,2019-02-06,SAN PEDRO,4,3578
3579,24260581,4.81395123,Febrero,ATROPELLO,FALLAS EN LOS FRENOS,POR FISCALIA / CRUCE SPOA-SIEDCO,1,RISARALDA,Via urbana,1,-75.70276135,2019-02-20,PEREIRA (CT),0,3579
3580,24260764,4.720535,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,CUNDINAMARCA,Via urbana,1,-74.197898,2019-02-19,FUNZA,1,3580
3581,24260794,2.66510459,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,HUILA,Via urbana,1,-75.51991705,2019-02-16,YAGUARÁ,1,3581
3582,24260821,4.778109,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Vias Rurales,2,-75.754134,2019-02-20,PEREIRA (CT),2,3582
3583,24260838,4.4341613,Febrero,CHOQUE,DESOBEDECER SEÑALES DE TRÁNSITO.,POR FISCALIA / CRUCE SPOA-SIEDCO,1,TOLIMA,Via urbana,1,-75.22449784,2019-02-20,IBAGUÉ (CT),0,3583
3584,24260892,1.11547318,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,NARIÑO,Via urbana,1,-77.40156073,2019-02-14,YACUANQUER,1,3584
3585,24261149,3.999366,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,META,Via Nacional - Paso Urbano,1,-73.768232,2019-02-20,ACACÍAS,1,3585
3586,24261315,3.417088,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.477682,2019-02-21,CALI (CT),1,3586
3587,24261377,6.25891253,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.56239874,2019-02-19,MEDELLÍN (CT),1,3587
3588,24261540,3.48316709,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,1,-76.31509146,2019-02-13,PALMIRA,1,3588
3589,24261697,4.79207099,Febrero,CHOQUE,OTRA.,POLICIA DE TRANSITO RURAL,0,CUNDINAMARCA,Vias Rurales,1,-74.11649964,2019-02-22,COTA,1,3589
3590,24261746,5.13582228,Febrero,CHOQUE,GIRAR BRUSCAMENTE,POLICIA DE TRANSITO RURAL,0,CUNDINAMARCA,Via Nacional,1,-73.69298271,2019-02-22,CHOCONTÁ,1,3590
3591,24261783,3.41960971,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Via urbana,1,-76.49063148,2019-02-12,CALI (CT),0,3591
3592,24261785,4.18832719,Febrero,ATROPELLO,CRUZAR SIN OBSERVAR,POLICIA DE TRANSITO RURAL,1,TOLIMA,Via Nacional,2,-74.86350516,2019-02-22,ESPINAL,1,3592
3593,24261838,6.22709454,Febrero,-,-,POR INFORMACION POLICIVA,1,ANTIOQUIA,Via urbana,2,-75.56220177,2019-02-22,MEDELLÍN (CT),1,3593
3594,24261851,3.45893481,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.52702636,2019-02-12,CALI (CT),1,3594
3595,24261874,3.44247323,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Via urbana,1,-76.51187345,2019-02-11,CALI (CT),0,3595
3596,24261903,1.20698465,Febrero,-,-,POR DENUNCIA,0,NARIÑO,Via urbana,1,-77.28014541,2019-02-21,PASTO (CT),1,3596
3597,24261919,4.62721304,Febrero,ATROPELLO,OTRA.,POLICIA DE TRANSITO URBANO,1,CUNDINAMARCA,Via urbana,1,-74.08109622,2019-02-22,BOGOTÁ D.C. (CT),0,3597
3598,24261937,3.41996084,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.55500865,2019-02-10,CALI (CT),2,3598
3599,24261944,3.40426354,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.54089062,2019-02-09,CALI (CT),1,3599
3600,24261956,10.90789046,Febrero,OTRO,EXCESO DE VELOCIDAD,POLICIA DE TRANSITO URBANO,1,ATLÁNTICO,Via Nacional - Paso Urbano,1,-74.77097082,2019-02-22,SOLEDAD,0,3600
3601,24261997,3.40243203,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,3,-76.33178334,2019-02-03,CANDELARIA,3,3601
3602,24262032,3.44454283,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.52900776,2019-02-09,CALI (CT),1,3602
3603,24262062,3.42816465,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.53680754,2019-02-09,CALI (CT),1,3603
3604,24262116,3.42001168,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.54832464,2019-02-09,CALI (CT),1,3604
3605,24262153,3.40981495,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,2,-76.41231479,2019-02-03,CANDELARIA,2,3605
3606,24262248,3.45398976,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.54951505,2019-02-08,CALI (CT),1,3606
3607,24262318,3.42570797,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.53926146,2019-02-08,CALI (CT),2,3607
3608,24262327,3.40515769,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.34926327,2019-01-31,CANDELARIA,1,3608
3609,24262361,3.33900485,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via Nacional - Paso Urbano,1,-76.524507,2019-02-07,CALI (CT),1,3609
3610,24262472,1.4153655,Febrero,CHOQUE,VEHÍCULO MAL ESTACIONADO,POR FISCALIA / CRUCE SPOA-SIEDCO,1,NARIÑO,Via Nacional - Paso Urbano,1,-78.43752701,2019-02-17,SAN ANDRES DE TUMACO,0,3610
3611,24262590,9.3096624,Febrero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POR INFORMACION POLICIVA,1,SUCRE,Via urbana,1,-75.39834877,2019-02-22,SINCELEJO (CT),0,3611
3612,24262646,3.26130256,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.54329346,2019-02-10,JAMUNDÍ,2,3612
3613,24262811,3.24765378,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,2,-76.5245999,2019-02-09,JAMUNDÍ,2,3613
3614,24262816,3.38611527,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Via urbana,1,-76.55783326,2019-02-07,CALI (CT),0,3614
3615,24262817,1.2689453,Febrero,VOLCAMIENTO,SALIRSE DE LA CALZADA,POLICIA DE TRANSITO RURAL,1,NARIÑO,Via Nacional,1,-77.26099444,2019-02-22,PASTO (CT),0,3615
3616,24262985,2.97736142,Febrero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO RURAL,0,HUILA,Via Nacional,2,-75.30742287,2019-02-20,NEIVA (CT),2,3616
3617,24263261,4.92701597,Febrero,-,-,POR INFORMACION POLICIVA,1,TOLIMA,Via urbana,1,-75.06483574,2019-02-23,LÍBANO,0,3617
3618,24263263,7.69138426,Febrero,CHOQUE,OTRA.,POLICIA DE TRANSITO RURAL,0,ANTIOQUIA,Via Nacional,2,-76.67434249,2019-02-10,CHIGORODÓ,2,3618
